config,context_recall,context_precision,context_entity_recall,faithfulness,answer_relevancy,noise_sensitivity(mode=relevant),P+R
mmr k10 (baseline),0.7107,0.3829,0.3766,0.8985,0.5898,0.4294,1.0935
HyDE,0.5983,0.2473,0.3358,0.8767,0.5593,0.3968,0.8456
Multi-Query,0.665,0.3822,0.3889,0.8782,0.5815,0.4223,1.0472
RAG-Fusion,0.65,0.3646,0.3585,0.9176,0.5146,0.3866,1.0146
Rewrite,0.6327,0.3541,0.3539,0.9375,0.5676,0.4076,0.9867
Step-Back,0.654,0.349,0.3408,0.8949,0.5441,0.339,1.003
Decomposition,0.6597,0.2826,0.3825,0.9193,0.5933,0.4195,0.9423
Self-Query,0.4847,0.3383,0.2355,0.81,0.4377,0.3537,0.823
