config,context_recall,context_precision,context_entity_recall,faithfulness,answer_relevancy,noise_sensitivity(mode=relevant),P+R
bge-base-en-v1.5 (baseline),0.4527,0.3037,0.3237,0.8333,0.4226,0.39,0.7564
snowflake-arctic-embed-l,0.4627,0.3121,0.3252,0.843,0.4559,0.3585,0.7747
qwen3-embedding-8b,0.5023,0.3865,0.3084,0.8655,0.4561,0.3529,0.8888
bge-m3 (gañador),0.583,0.4157,0.3838,0.8808,0.5614,0.4655,0.9987
