config,context_recall,context_precision,context_entity_recall,faithfulness,answer_relevancy,noise_sensitivity(mode=relevant),P+R
cosine k5 (baseline),0.583,0.4157,0.3838,0.8808,0.5614,0.4655,0.9987
cosine k10,0.6437,0.4063,0.386,0.9045,0.5752,0.3923,1.0499
bm25 k10,0.656,0.258,0.3835,0.8259,0.4025,0.4089,0.914
hybrid k10,0.614,0.2718,0.3689,0.8447,0.5655,0.3779,0.8858
mmr k10 (gañador),0.7107,0.3829,0.3766,0.8985,0.5898,0.4294,1.0935
